;사용법
;name 텍스처셋트이름 텍스처이름1 텍스처이름2 타일행수
name 필드_02새들의낙원_108_112 Enterol_Field_02Bp2.tga Enterol_Town_01Bellsyurot_Shadow.tga 16
name 필드_03엔트란스초원 Enterol_Field_03En.tga Enterol_Field_03Grass_Shadow.tga16
name 필드_03엔트란스초원_117 Enterol_Field_03En2.tga Enterol_Field_03Grass_Shadow.tga16
name 필드_04북쪽해안 Enterol_Field_04Nb.tga Enterol_Town_01Bellsyurot_Shadow.tga 16
name 필드_04북쪽해안_115_105 Enterol_Field_04Nb2.tga Enterol_Town_01Bellsyurot_Shadow.tga 16
name 필드_05팬다도 Enterol_Field_05Pan.tga Enterol_Town_01Bellsyurot_Shadow.tga 16
name 필드_05팬다도_129_130 Enterol_Field_05Pan2.tga Enterol_Town_01Bellsyurot_Shadow.tga 16
name 필드_06사적의땅 Enterol_Field_06Sa.tga Enterol_Town_01Bellsyurot_Shadow.tga 16
name 필드_06사적의땅_121 Enterol_Field_06Sa2.tga Enterol_Town_01Bellsyurot_Shadow.tga 16
name 필드_07유적과연구소 Enterol_Field_07Yy.tga Enterol_Town_01Bellsyurot_Shadow.tga 16
name 필드_07유적과연구소_109_111 Enterol_Field_07Yy2.tga Enterol_Town_01Bellsyurot_Shadow.tga 16
name 필드_07유적과연구소_110 Enterol_Field_07Yy3.tga Enterol_Town_01Bellsyurot_Shadow.tga 16
name 필드_08알려지지않은땅 Enterol_Field_08Un.tga Enterol_Town_01Bellsyurot_Shadow.tga 16
name 필드_08알려지지않은땅_125 Enterol_Field_08Un2.tga Enterol_Town_01Bellsyurot_Shadow.tga 16
name 필드_09늪지역 Enterol_Field_09Du.tga Enterol_Town_01Bellsyurot_Shadow.tga 16
name 타운_01벨슈로트 Enterol_Town_01Bellsyurot.tga Enterol_Town_01Bellsyurot_Shadow.tga 16
name 타운_02엔트란스 Enterol_Town_02Enterance.tga Enterol_Town_01Bellsyurot_Shadow.tga 16
name 타운_03톨루엔 Enterol_Town_03Tolluen.tga Enterol_Town_01Bellsyurot_Shadow.tga 16
name 타운_04메스타 Enterol_Town_04Mesta.tga Enterol_Town_01Bellsyurot_Shadow.tga 16
